S2 Number,Settlement,Pop,Area_ha,latitude,longitude,UrbanSytem,Area_sqkm
1,London & Southwark,70000,330,51.5038411,-0.0947961,England,3.3
2,York,22700,135,53.9599651,-1.0872979,England,1.35
3,Bristol,14400,130,51.454513,-2.58791,England,1.3
4,Lincoln,12300,115,53.230688,-0.540579,England,1.15
5,Norwich,14000,185,52.6308859,1.297355,England,1.85
6,Newcastle-upon-Tyne,9900,90,54.978252,-1.61778,England,0.9
7,Oxford,9800,94,51.7520209,-1.2577263,England,0.94
8,Coventry,9500,85,52.406822,-1.519693,England,0.85
9,Canterbury,8800,110,51.280233,1.0789089,England,1.1
10,Salisbury,7700,83,51.068785,-1.794472,England,0.83
11,Gloucester,7200,75,51.8642449,-2.238156,England,0.75
12,Great Yarmouth,7000,80,52.598233,1.728047,England,0.8
13,Cambridge,6900,88,52.205337,0.121817,England,0.88
14,King’s Lynn,6900,95,52.7516798,0.4022963,England,0.95
15,Winchester,9500,100,51.059771,-1.310142,England,1
16,Scarborough,6500,60,54.283113,-0.399752,England,0.6
17,Colchester,3500,60,51.895927,0.891874,England,0.6
18,Boston,6200,40,52.97894,-0.026577,England,0.4
19,Bury St Edmunds,5800,78,52.2429228,0.7104932,England,0.78
20,Shrewsbury,5700,58,52.7073029,-2.7553268,England,0.58
21,Hereford,5500,75,52.056398,-2.715974,England,0.75
22,Leicester,5400,75,52.6368778,-1.1397592,England,0.75
23,Ipswich,5300,90,52.056736,1.14822,England,0.9
24,Stamford,4500,64,52.651282,-0.480216,England,0.64
25,Northampton,4200,90,52.240477,-0.902656,England,0.9
26,Nottingham,4200,63,52.9547832,-1.1581086,England,0.63
27,Plymouth,3800,72,50.3754565,-4.1426565,England,0.72
28,Kingston-upon-Hull,3800,35,53.7456709,-0.3367413,England,0.35
29,Exeter,3700,40,50.718412,-3.533899,England,0.4
30,Worcester,3700,40,52.193636,-2.221575,England,0.4
31,Southampton,3500,35,50.9097004,-1.4043509,England,0.35
32,Ely,3500,57,52.399539,0.262363,England,0.57
33,Chester,3300,53,53.193392,-2.893075,England,0.53
34,Ludlow,3300,41,52.367749,-2.7139129,England,0.41
35,Lichfield,2700,30,52.681602,-1.831672,England,0.3
36,Newark,2700,50,53.0765,-0.81,England,0.5
37,Durham,2600,25,54.77525,-1.584852,England,0.25
38,Bridgnorth,2400,20,52.534455,-2.424549,England,0.2
39,Pontefract,2400,40,53.691688,-1.308648,England,0.4
40,Doncaster,2300,25,53.52282,-1.128462,England,0.25
41,Paris,200000,800,48.856614,2.3522219,France & Belgium,8
42,Rouen,40000,224,49.443232,1.099971,France & Belgium,2.24
43,Orleans,21700,150,47.902964,1.909251,France & Belgium,1.5
44,Reims,20000,240,49.258329,4.031696,France & Belgium,2.4
45,Beauvais,15500,103,49.4295387,2.0807123,France & Belgium,1.03
46,Troyes,25000,120,48.2973451,4.0744009,France & Belgium,1.2
47,Chalons-sur-Marne,10000,100,48.956682,4.363073,France & Belgium,1
48,Chartres,8700,60,48.443854,1.489012,France & Belgium,0.6
49,Sens,5000,32,48.20065,3.28268,France & Belgium,0.32
50,Provins,10000,146,48.560149,3.299203,France & Belgium,1.46
51,Nancy,1000,11,48.692054,6.184417,France & Belgium,0.11
52,Ghent,60000,362,51.0543422,3.7174243,France & Belgium,3.62
53,Bruges,45000,300,44.881793,-0.612747,France & Belgium,3
54,Tournai,35000,175,50.6056475,3.3879338,France & Belgium,1.75
55,Ypres,30000,250,50.8492265,2.8779388,France & Belgium,2.5
56,Saint-Omer,35000,120,50.750115,2.252208,France & Belgium,1.2
57,Mons,10000,150,50.454241,3.956658,France & Belgium,1.5
58,Calais,12000,50,50.95129,1.858686,France & Belgium,0.5
59,Amiens,21000,140,49.894067,2.295753,France & Belgium,1.4
60,Arras,30000,182,50.291002,2.777535,France & Belgium,1.82
