	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	mortality	mortality	mortality	mortality	mortality	mortality	mortality
							
synagogue_x		-1.059				-3.089	
		[3.903]				[11.824]	
quarter_x		-2.269				4.879	
		[4.142]				[9.452]	
cemetery_x		1.122				2.516	
		[4.484]				[8.611]	
sharejews1300	0.294					0.265	
	[0.326]					[0.460]	
lpopjews	3.339					3.615	
	[3.782]					[4.774]	
firstyrjewx			0.001			0.024	
			[0.004]			[0.055]	
yrjewprebdx			-0.001			-0.025	
			[0.005]			[0.059]	
jewsh1300_speed2_38				0.010		-0.104	
				[0.054]		[0.133]	
jewpers13001346_x					0.484	26.532	
					[5.694]	[23.594]	
jewpers13211346_x					-5.058	-34.791	
					[8.013]	[25.958]	
jewpres13471352_x							-2.796
							[3.302]
Constant	13.107	40.166***	39.330***	38.987***	39.683***	14.165	42.108***
	[24.435]	[2.263]	[5.964]	[2.374]	[1.832]	[29.331]	[2.852]
							
Observations	30	124	124	124	124	30	172
R-squared	0.083	0.005	0.000	0.000	0.005	0.282	0.004
